save	assistance
humanitarian	assistance
more	million
indian	origin
iraqi	refugee
israeli	jail
desperate	hunt
russian	immigrant
next	month
local	coordinator
new	project
online	imagery
destroy	village
other	effort
humanitarian	effort
lebanese	helicopter
inspire	militant
islamic	militant
palestinian	camp
senior	official
military	official
ongoing	operation
armed	terrorist
top	diplomat
imminent	departure
great	concern
other	country
european	country
grow	population
enormous	hardship
international	community
such	as
palestinian	refugee
future	border
palestinian	state
jewish	refugee
same	mission
early	September
palestinian	camp
heavy	fighting
extremist	group
islamic	group
lebanese	army
first	place
old	community
inland	community
unlikely	refugee
besiege	camp
palestinian	camp
islamic	militant
lebanese	army
burmese	refugee
good	judge
tenuous	situation
ready	re
early	September
massive	exodus
fierce	fighting
besiege	camp
palestinian	camp
lebanese	troop
inspire	militant
iraqi	minister
special	importance
iraqi	refugee
iraqi	certificate
last	year
main	faction
rebel	faction
more	refugee
such	country
palestinian	refugee
artillery	unit
islamist	position
palestinian	camp
militant	crew
elderly	woman
palestinian	camp
large	population
bhutanese	refugee
indian	force
northeastern	city
last	week
displace	person
estimate	refugee
new	rule
more	reunion
unsanitary	condition
kenyan	camp
iraqi	refugee
sensitive	issue
diplomatic	issue
final	border
call	arrangement
lebanese	helicopter
inspire	militant
islamic	militant
palestinian	camp
senior	official
military	official
own	food
good	policy
just	solution
integral	part
peaceful	resolution
arab	israeli
israeli	conflict
powerful	woman
notable	woman
lebanese	troop
extremist	group
other	militant
palestinian	camp
military	spokesman
similar	condition
medical	condition
palestinian	refugee
deadly	strife
internal	strife
civil	war
new	policy
humanitarian	policy
palestinian	camp
detailed	statistic
special	assistance
necessary	momentum
serb	refugee
civil	war
palestinian	refugee
deadly	strife
internal	strife
civil	war
strong	unit
last	year
serbian	official
vast	system
Bared	camp
destroy	home
algerian	claimant
multi	lawsuit
-	dollar
few	hour
palestinian	refugee
most	other
ATHENS	a
greek	centre
illegal	migrant
human	dignity
lebanese	Army
Islam	militant
bared	camp
palestinian	camp
congolese	refugee
single	mother
early	morning
large	complex
social	housing
lebanese	force
palestinian	camp
palestinian	camp
southern	Lebanon
lebanese	troop
islamic	militant
lebanese	soldier
lebanese	solider
inspire	militant
islamist	militant
palestinian	camp
north	Lebanon
kenyan	government
first	visit
sudanese	President
western	region
sudanese	region
palestinian	refugee
nightly	bombing
usual	as
unknown	suspect
comparative	normality
armed	group
palestinian	pizza
northern	Lebanon
special	status
western	Jews
european	Jews
eastern	Jordan
palestinian	refugee
sorry	case
canadian	culture
islamic	dissenter
somali	refugee
arab	summit
late	March
israeli	side
arab	country
palestinian	refugee
lebanese	Army
islamic	militant
lebanese	soldier
samed	complex
national	flag
northern	Lebanon
islamic	extremist
palestinian	camp
northern	Lebanon
besiege	area
muslim	clergyman
senior	official
military	official
less	a
mandatory	evacuation
